,mutual_information_score,impurity_score,rf_based_score,permutation_score,final_importance_score
dst2src_bytes,0.9758720422546858,0.9778649892609874,0.8264648921740232,0.4012352983569313,0.9999999999999999
bidirectional_bytes,1.0,0.9014718031096451,0.9267339513105981,0.2774800621410575,0.9761232492276621
bidirectional_mean_ps,0.9417015568754703,0.8423629592326295,0.7737446425606735,0.24312061948546101,0.8800645169996508
bidirectional_max_ps,0.974058352533277,0.6144041442575395,0.8020255291979506,0.08789336099155765,0.7783976568439049
dst2src_max_ps,0.9337181235001099,0.6051443401157466,0.7910400897937708,0.095833586766282,0.7618039391532051
src2dst_bytes,0.8414345469376387,0.07601253600490468,0.5063981773404058,0.902497502497502,0.7304752676217977
src2dst_max_ps,0.8264589255496675,0.06307700133700807,0.42266510128335355,0.1826659976854283,0.4683951277668418
dst2src_ack_packets,0.27728580274958653,0.11580359352804348,0.15007912807404694,0.036213653081264806,0.17983541825927515
src2dst_packets,0.25930907577120094,0.11757126335322048,0.10366746901919126,0.058594595231271196,0.16715189047304108
src2dst_psh_packets,0.12255341081319904,0.07522480818019238,0.09182809536651115,0.23051176712921623,0.1611554473790957
dst2src_packets,0.2624630569332604,0.1035393604797169,0.08991417485559475,0.05081375944716356,0.15693565125573014
src2dst_ack_packets,0.2693919702407356,0.103650889223398,0.06073795449053172,0.012920744695211825,0.13801464877379768
dst2src_fin_packets,0.1729223242380244,0.08120632069036046,0.06210761473378836,0.036146880484303714,0.10828559810578131
bidirectional_psh_packets,0.0830057561205303,0.06821947973880141,0.08346869341739838,0.10796968507470517,0.10522201540990023
bidirectional_fin_packets,0.1685117323920156,0.05901949384657614,0.04309486025504631,0.048499479476060134,0.09780285122044075
src2dst_syn_packets,0.0689447957852555,0.036133826345896305,0.041790688699253176,0.12151534698746062,0.081809378754269
dst2src_psh_packets,0.023055624026664077,0.09864988779911148,0.04780253921146066,0.07330270677289974,0.07374851661119594
dst2src_syn_packets,0.08025474810871272,0.03164637663313126,0.05056571824721594,0.06455053739452257,0.06877046327672248
bidirectional_syn_packets,0.067081731812463,0.038102810450217406,0.0396741953270792,0.0634481743188161,0.06287294639569307
bidirectional_ack_packets,0.06106423974525697,0.04062568035721054,0.02573705816484857,0.03736469210710584,0.04915699524927737
bidirectional_min_ps,0.03602033461641154,0.008843257500323753,0.011134397624031647,0.020199091842119186,0.02123208873697519
src2dst_min_ps,0.03704072657300694,0.007288041713019343,0.008127946238079045,0.019903738027799024,0.020022787937976655
src2dst_fin_packets,0.001289082655575528,0.0095857973166162,0.013042505924178688,0.042549252947678376,0.018165065033702445
bidirectional_packets,0.03451813103424284,0.0,0.0,0.008223426455221042,0.010686948278936901
dst2src_min_ps,0.02421597917971811,0.0021932287461526485,0.0007070282160479975,0.007177915003844786,0.008024336085156989
bidirectional_rst_packets,0.00197950161661754,0.0012067116978577784,0.0012976528748637273,0.008265718694595133,0.0012335150325831377
dst2src_rst_packets,0.0017591404853892867,0.0007604332979064388,0.0007994866516261798,0.008223426455221042,0.0008530392147301619
src2dst_rst_packets,0.001959734035354743,0.0005170045538279193,0.0003619617091992003,0.008223426455221042,0.0007016302845901877
dst2src_urg_packets,0.002473592872679565,0.0,0.0,0.008223426455221042,0.0005865488685719441
src2dst_urg_packets,0.0013037628532753262,0.0008632516633351349,0.0002602348540589351,0.008223426455221042,0.0005719414531672423
bidirectional_urg_packets,0.001151152502470503,0.0008945048500168713,0.0002838329881384041,0.008223426455221042,0.0005411279259311171
src2dst_ece_packets,0.001778344614967733,0.00016939501111531836,0.00016328419806134763,0.008223426455221042,0.0004722675459459939
bidirectional_cwr_packets,0.001602689305224782,0.00019308803084630303,9.930755202816491e-05,0.008223426455221042,0.0004042038562367318
dst2src_ece_packets,0.0016844463065136476,0.0001088683861690907,9.789522193269101e-05,0.008223426455221042,0.0004029824693128877
bidirectional_ece_packets,0.001198935421191275,0.0001590314631130209,0.0001376676271317685,0.008223426455221042,0.0002782975838923757
src2dst_cwr_packets,0.0005820123749087436,0.0002057917742282451,0.00012058282958296823,0.008223426455221042,9.319787662623443e-05
dst2src_cwr_packets,0.0006127072939085496,0.0,0.0,0.008223426455221042,0.0
